content,published_at,likes,replies,mentioned_topics,additional_themes,attitude_towards_israel,attitude_towards_us,attitude_towards_qatar,attitude_towards_hamas,attitude_confidence,attitude_indicators,intelligence_score,intelligence_markers,insightfulness_score,insight_type,emotional_score
Stay better informed https://ground.news/caspian and access world-wide perspectives on global developments. Subscribe for 40% off unlimited access through my link.,2025-09-14 19:52:09.110000+00:00,50,14,[],"['news aggregation', 'media bias awareness', 'advertisement/promotion']",,,,,0.98,[],2,['proper_grammar'],1,additional_context,1
"Israel didn’t strike Qatar—it struck the leadership of Hamas that was taking refuge in Qatar. Qatar does sponsor terrorism, by the way.",2025-09-15 19:52:21.265000+00:00,6,2,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['state_sponsorship_of_terrorism', 'safe_haven_for_militants']",7.0,,2.0,3.0,0.86,"['Israel didn’t strike Qatar—it struck the leadership of Hamas', 'taking refuge in Qatar', 'Qatar does sponsor terrorism']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,counter_argument,3
"If Trump were president, this never would have happened!",2025-09-15 19:52:23.458000+00:00,17,4,"[<VideoTopic.TRUMP: 'Trump'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['partisan politics', 'deterrence', 'counterfactual claim']",,7.0,,,0.4,"['If Trump were president, this never would have happened!', 'Implied belief in stronger US deterrence/effect under Trump']",2,['proper_grammar'],2,predictive_analysis,3
Qatar is home to a US base while simultaneously being home to Islamic terrorist organisations proscribed by the US. The Qatari leadership isn't on anyone's side but its own.,2025-09-15 19:52:25.535000+00:00,6,3,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['state self-interest/realpolitik', 'harboring extremist groups', 'policy inconsistency/double standards']",,5.0,3.0,1.0,0.8,"['Qatar is home to a US base while simultaneously being home to Islamic terrorist organisations proscribed by the US', ""The Qatari leadership isn't on anyone's side but its own""]",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,basic_opinion,3
Free the US from AIPAC.,2025-09-15 19:52:30.636000+00:00,37,4,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.UNITED_STATES: 'United States'>]","['lobbying influence', 'foreign influence on domestic policy', 'political capture']",3.0,6.0,,,0.55,"['Free the US from AIPAC', 'Opposition to pro-Israel lobbying influence over U.S. policy']",2,['proper_grammar'],2,basic_opinion,3
Someday it'll sink into everyone's head that Donald Trump is a pathological liar.,2025-09-15 19:52:32.868000+00:00,8,1,[<VideoTopic.TRUMP: 'Trump'>],"['political dishonesty', 'leader credibility']",,,,,0.95,"['Donald Trump is a pathological liar.', ""Someday it'll sink into everyone's head""]",2,['proper_grammar'],2,basic_opinion,4
And then Netanyahu made a statement about how they would do this to ”every country that houses enemies of Israel”.,2025-09-15 19:52:35.073000+00:00,43,4,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.NETANYAHU: 'Netanyahu'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['cross-border assassinations/strikes', 'escalation rhetoric', 'deterrence signaling']",4.0,,,,0.5,"['""do this to every country that houses enemies of Israel""', '""And then Netanyahu made a statement..."" (framing suggests escalation/concern)']",3,"['proper_grammar', 'logical_structure']",3,additional_context,2
The message: Qatar money HAS its limits🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱,2025-09-15 19:52:37.160000+00:00,10,0,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>]",['limits of financial influence'],9.0,,3.0,,0.86,"['Qatar money HAS its limits', 'Multiple Israel flag emojis indicating support']",2,['proper_grammar'],1,basic_opinion,4
You. Don't. Negotiate. With. Terrorists!,2025-09-15 19:52:37.160000+00:00,7,5,"[<VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['rejection of diplomacy', 'hardline counterterrorism stance', 'moral absolutism']",,,,1.0,0.95,"[""Don't negotiate with terrorists"", ""Emphatic, absolutist phrasing ('You. Don't. Negotiate. With. Terrorists!')""]",2,['proper_grammar'],2,basic_opinion,4
At least the Gulf states have now realized that Israel doesn't differentiate between them and the Levant. Abraham Accords down the drain...,2025-09-15 19:52:44.016000+00:00,7,1,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Abraham Accords', 'Normalization collapse']",3.0,,,,0.7,"[""Israel doesn't differentiate between them and the Levant"", 'Abraham Accords down the drain']",3,"['proper_grammar', 'logical_structure', 'domain_knowledge', 'critical_analysis']",3,predictive_analysis,3
"“It may be dangerous to be America’s enemy, but to be America’s friend is fatal.” -Henry Kissinger",2025-09-15 19:52:46.414000+00:00,50,7,[<VideoTopic.UNITED_STATES: 'United States'>],"['betrayal of allies', 'unreliable security guarantees', 'realpolitik cynicism']",,3.0,,,0.75,"[""'to be America’s friend is fatal' suggests the US harms its allies"", 'Invoking Kissinger implies critique of US realpolitik and reliability']",3,"['proper_grammar', 'domain_knowledge']",3,historical_parallel,3
"LOL, Ground News where they feed you news through the lens of the ""U.S."" left and right.",2025-09-15 19:52:48.449000+00:00,6,2,[<VideoTopic.UNITED_STATES: 'United States'>],"['media bias', 'US-centric framing', 'polarization']",,4.0,,,0.36,"['LOL', ""feed you news through the lens of the 'U.S.' left and right"", 'dismissive tone toward US left/right framing']",2,['proper_grammar'],2,systemic_critique,3
The Qatari anti-air defense not going off tells you what you need to know,2025-09-15 19:52:50.439000+00:00,7,2,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['complicity or prior knowledge', 'stand-down/pressure']",,,3.0,,0.55,"['Qatari anti-air defense not going off', 'tells you what you need to know (implies complicity/foreknowledge)']",2,['proper_grammar'],2,basic_opinion,2
"Israel doesn't want negotiations, doesn't want peace.",2025-09-14 19:52:54.767000+00:00,47,13,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]",['accusation of bad faith in negotiations'],3.0,,,,0.9,"[""Israel doesn't want negotiations, doesn't want peace.""]",2,['proper_grammar'],2,basic_opinion,3
"""Qatar has been the center of negotiations.""  😂😂😂 That's one way to say terrorist safe haven.",2025-09-14 19:52:56.829000+00:00,12,2,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['state_support_for_terrorism', 'sarcasm/mockery', 'delegitimization_of_mediation_role']",,,2.0,1.0,0.9,"['""That\'s one way to say terrorist safe haven""', '😂😂😂 (mocking tone)', '""Qatar has been the center of negotiations."" (quoted and derided)']",2,['proper_grammar'],2,counter_argument,4
Trying to kill negotiators is wild work.,2025-09-14 19:52:56.829000+00:00,59,6,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['assassination of negotiators', 'undermining diplomacy']",3.0,,,,0.65,['“Trying to kill negotiators is wild work.” (condemnation of Israel’s targeting during talks)'],2,"['proper_grammar', 'logical_structure']",2,basic_opinion,3
Qatar is NOT the messenger but a puppet master,2025-09-14 19:53:03.107000+00:00,6,0,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['proxy influence', 'mediation bias']",,,3.0,,0.82,['Qatar is NOT the messenger but a puppet master'],2,['proper_grammar'],2,basic_opinion,3
The damage the Israelis caused in Qatar is about 0.001% of the damage the Qatari propaganda machine has caused to Israel since October 7.,2025-09-14 19:53:03.107000+00:00,14,10,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['propaganda', 'media influence', 'information warfare']",7.0,,2.0,,0.9,"['The damage the Israelis caused in Qatar is about 0.001%', 'the Qatari propaganda machine', 'has caused to Israel since October 7']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,3
"""Emirate in the crossfire of playing both sides and become a collateral."" Well framed.",2025-09-14 19:53:05.289000+00:00,23,2,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['playing both sides', 'collateral damage']",,,4.0,,0.55,"['Emirate in the crossfire of playing both sides', 'become a collateral', 'Well framed']",2,['logical_structure'],2,basic_opinion,2
"If you lie with dogs, you will get with fleas.
Qatar has decided to host the most dreadful terrorist organizations of our time. Hamas organization slaughtered 1200 innocent Israelis. This barbaric attack cannot stay without a response, even if the perpetrators think they can hide  in a faraway country.",2025-09-14 19:53:07.403000+00:00,10,6,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['harboring terrorists has consequences', 'justification for cross-border retaliation', 'moral condemnation']",8.0,,2.0,1.0,0.9,"['If you lie with dogs, you will get with fleas.', 'Qatar has decided to host the most dreadful terrorist organizations of our time.', 'Hamas organization slaughtered 1200 innocent Israelis.', 'This barbaric attack cannot stay without a response', 'even if the perpetrators think they can hide in a faraway country.']",3,"['proper_grammar', 'logical_structure', 'evidence_based']",2,basic_opinion,4
It seem extremely relevant that the second ceasefire didn't 'collapse in two months' but instead Israel unilaterally broke the ceasefire.,2025-09-14 19:53:09.572000+00:00,22,5,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['media framing', 'accountability for ceasefire violations']",3.0,,,,0.78,"['Israel unilaterally broke the ceasefire', ""didn't 'collapse in two months'""]",3,"['logical_structure', 'critical_analysis']",3,factual_correction,2
The other Arab states realizing that none of them are safe may provoke multi-front war.,2025-09-14 19:53:11.571000+00:00,8,1,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['regional escalation', 'multi-front war', 'security perceptions']",,,,,0.22,"['none of them are safe', 'may provoke multi-front war']",3,"['proper_grammar', 'logical_structure']",3,predictive_analysis,2
"Enough is enough. Why do these people hold so much power? Politicians bow to them, laws where people cannot criticise them, and they are free to murder their enemies in our countries. 

We were lied to about them!",2025-09-14 19:53:11.571000+00:00,7,3,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['political influence/capture', 'censorship and free speech concerns', 'extrajudicial killings/sovereignty violations']",1.0,,,,0.82,"['Politicians bow to them', 'laws where people cannot criticise them', 'they are free to murder their enemies in our countries', 'We were lied to about them!']",2,['proper_grammar'],1,basic_opinion,4
Arabs finding out that US guarantees are worth nothing,2025-09-14 19:53:13.553000+00:00,342,36,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['US security guarantees reliability', 'Arab regional perception']",,3.0,,,0.85,"['US guarantees are worth nothing', 'Arabs finding out']",2,['proper_grammar'],2,basic_opinion,3
"What sloppy foreign policy on so many levels. Letting an ally bomb an ally, then try to assassinate leadership on a sovereign ally trying to negotiate peace, hard to believe that anyone would take the US at their word if their word is meaningless. Alot of people voted for Trump because He was going to get us out of both wars and that hasn't happened with Ukraine and it's gotten much worse with Israel. If world perception means anything, especially the younger generation who will become our future leadership, Israel is losing.",2025-09-14 19:53:13.553000+00:00,11,2,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.TRUMP: 'Trump'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['US credibility/soft power', 'Youth opinion/future leadership', 'Ukraine war']",3.0,3.0,7.0,,0.82,"['What sloppy foreign policy on so many levels.', 'Letting an ally bomb an ally', 'hard to believe that anyone would take the US at their word if their word is meaningless', ""it's gotten much worse with Israel"", 'If world perception means anything... Israel is losing']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,systemic_critique,4
"I've never commented on your videos, but you are an amazing YouTuber and I've been a follower for many years! Thanks for doing these videos ❤",2025-09-14 19:53:15.744000+00:00,10,0,[],"['creator appreciation', 'long-time follower/support', 'gratitude']",,,,,0.95,[],2,['proper_grammar'],1,basic_opinion,2
"Attacking during negotiations have been the standard for israel for awhile.They took out Nasrallah like this and surprise attacked Iran.They bait Nasrallah into negotiations and when he lowered his guard they located him and bombed him.With Iran they used the negotiations as cover to get a maximum effect surprise attack on Iran.
These people don't have honor.",2025-09-14 19:53:15.744000+00:00,162,27,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['assassination tactics', 'bad-faith diplomacy', 'ethics/honor in warfare']",1.0,,,,0.9,"['Attacking during negotiations have been the standard for israel for awhile', 'They bait Nasrallah into negotiations', 'surprise attacked Iran', ""These people don't have honor""]",2,"['logical_structure', 'domain_knowledge']",2,historical_parallel,4
I understand that some people in the comments are mad that Qatar is hosting Hamas leaders.. but you have to remember that the US and Israel were the ones that asked them to...... this is a matter of public records and you can check it yourself..,2025-09-14 19:53:19.776000+00:00,224,18,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['responsibility attribution', 'fact-checking']",3.0,3.0,7.0,,0.7,"['mad that Qatar is hosting Hamas leaders', 'the US and Israel were the ones that asked them to', 'this is a matter of public records and you can check it yourself']",3,"['logical_structure', 'evidence_based', 'domain_knowledge']",3,factual_correction,2
Jordan and saudi royal families supported this strike. These arab leaders are a joke.,2025-09-14 19:53:19.776000+00:00,43,10,"[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Arab leadership criticism', 'Regional complicity', 'Monarchies']",4.0,,,,0.35,"['supported this strike', 'These arab leaders are a joke']",2,['logical_structure'],2,basic_opinion,4
"Remember guys when reading the comments on YouTube: 

If there is no profile picture or if the account was made recently then take the comment with a grain of salt.

There are many propaganda accounts being used on us to make war seem inevitable.

Only the rich want a world war",2025-09-14 19:53:19.776000+00:00,692,46,[],"['propaganda and astroturfing on social media', 'media literacy/skepticism', 'anti-war and anti-elite sentiment']",,,,,0.9,"['There are many propaganda accounts being used on us to make war seem inevitable.', 'Only the rich want a world war', 'take the comment with a grain of salt']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,systemic_critique,3
"All Doha has is money, and it's already controlling UK, and washing money from illegal channels to the legal ones.
Go figure.",2025-09-14 19:53:21.779000+00:00,7,2,[<VideoTopic.QATAR: 'Qatar'>],"['money laundering', 'foreign influence in the UK', 'conspiracy allegation']",,,1.0,,0.9,"['All Doha has is money', 'already controlling UK', 'washing money from illegal channels to the legal ones', 'Go figure']",2,['proper_grammar'],1,basic_opinion,4
Qatar using American defense equipment that was turned off by the Israelis as they attacked.,2025-09-14 19:53:21.779000+00:00,138,9,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.AIR_DEFENSE: 'Air defense systems'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['electronic warfare/remote disabling', 'control/interoperability of US-made defense systems', 'implied complicity or deactivation of defenses']",3.0,5.0,5.0,,0.6,"['turned off by the Israelis as they attacked', 'Qatar using American defense equipment', 'American defense equipment ... turned off']",2,['proper_grammar'],2,basic_opinion,2
"Also, it's important to mention that it wasn't just Hamas that was killed. An innocent Qatari security guard was also killed",2025-09-14 19:53:21.779000+00:00,17,7,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['civilian casualties', 'collateral damage']",4.0,,7.0,5.0,0.6,"[""it wasn't just Hamas that was killed"", 'An innocent Qatari security guard was also killed', 'important to mention']",3,"['proper_grammar', 'evidence_based']",3,factual_correction,2
"Qatar is an awful actor in the region. That said the Americans are degrading the authenticity of the security guarantee, and these attacks are killing any shot of an end to war in Gaza through negotiation.",2025-09-14 19:53:23.947000+00:00,23,4,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>]","['security guarantee credibility', 'mediation viability', 'negotiation prospects vs escalation']",3.0,3.0,2.0,,0.8,"['Qatar is an awful actor in the region.', 'the Americans are degrading the authenticity of the security guarantee', 'these attacks are killing any shot of an end to war in Gaza through negotiation']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,basic_opinion,4
"Hamas: (goes after civilians)
Israel: (goes straight for the head leaders)
Hamas: Wait, that's illegrrrrrchh",2025-09-14 19:53:26.148000+00:00,18,9,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['civilian targeting', 'legality of targeted killings', 'sarcasm/irony']",8.0,,,2.0,0.9,"['Hamas: (goes after civilians)', 'Israel: (goes straight for the head leaders)', ""Hamas: Wait, that's illegrrrrrchh""]",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,3
israel is committing genocide in Gaza! you never mention that!,2025-09-14 19:53:26.148000+00:00,31,14,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['genocide accusation', 'media bias/omission', 'civilian casualties']",1.0,,,,0.92,"['israel is committing genocide in Gaza', 'you never mention that!']",2,['critical_analysis'],2,counter_argument,4
"No mention that it was the US that requested Hamas to station representatives in Qatar?

spiegel de: ""How quickly do you Germans forget?"" asks one Qatari government official in Doha. Clearly irked, the man, in his 40s, is sitting in his office on the 34th floor of one of the Qatari capital’s glassed-in skyscrapers. In 2011, then United States President Barack Obama personally requested that the Emir of Qatar take the leadership of Hamas into his country.

At the time, Washington was seeking to establish a communications channel to the Iranian-backed terrorist group. The Americans believed that a Hamas office in Doha would be easier to access than a Hamas bureau in Tehran. Since then, Hamas chief Haniyeh has been living on the Arabian Peninsula, and with him are several veterans of the terrorist organization, including prominent Hamas leader Khaled Mashaal.

Al Jazeera: In a 2023 opinion piece for The Wall Street Journal (WSJ), the Qatari ambassador to the US, Sheikh Meshal bin Hamad Al Thani, said that Washington wanted the office “to establish indirect lines of communication with Hamas”.",2025-09-14 19:53:28.409000+00:00,25,5,"[<VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['US responsibility for Hamas office in Doha', 'Media omission/critique', 'Historical context (2011 Obama-era decision)']",,3.0,7.0,3.0,0.78,"['No mention that it was the US that requested Hamas to station representatives in Qatar?', 'In 2011, then United States President Barack Obama personally requested that the Emir of Qatar take the leadership of Hamas into his country.', 'to establish a communications channel to the Iranian-backed terrorist group.', 'Washington wanted the office “to establish indirect lines of communication with Hamas”.']",4,"['proper_grammar', 'evidence_based', 'domain_knowledge', 'critical_analysis']",4,factual_correction,3
