content,published_at,likes,replies
Stay better informed https://ground.news/caspian and access world-wide perspectives on global developments. Subscribe for 40% off unlimited access through my link.,2025-09-14 19:52:09.110000+00:00,50,14
it's not a conflict its a genocide,2025-09-15 19:52:09.110000+00:00,0,0
"Lured-in with promises of peace...
Was that Braveheart? Burned in the stone house, the entire peace envoy.
If not it sure was this one weird trick back in the day for ridding yourself of Indians that your doctor won't tell you.",2025-09-15 19:52:09.110000+00:00,0,0
with friends like these who needs enemies and i am not talking about isreal/usa and the arabs,2025-09-15 19:52:09.110000+00:00,0,0
Qatar mediates while funding terrorism lol,2025-09-15 19:52:09.110000+00:00,0,0
"Funny the obvious route for Israel above Syria and Iraq has been forgotten. It did air-to-air refueling over these areas for their attacks  on Iran, so what would have stoped them this time...?",2025-09-15 19:52:09.110000+00:00,0,0
"At war with all neighbors (sans US backed Jordan) and most of these orginizations they claim to fight were Expressly formed decades ago to counter the first round of these attacks.

Freedom fighters and civilians that just wanna live are all terrorists, depending on your side.",2025-09-15 19:52:09.110000+00:00,0,0
"@CaspianReport In your video ""How Israel plans to checkmate Iran"" You stated that Israel had its own fleet of refueling tankers.  Why do you here state that the tankers were most likely provided by US CentCom?  Why the Biased reporting?",2025-09-15 19:52:09.110000+00:00,0,0
"The ""messenger"" here is the biggest provider of funding for the terrorist group being negotiated with. The messenger is also the biggest provider of funding for the largest information warfare implement against Israel. The messenger is not a neutral body.",2025-09-15 19:52:09.110000+00:00,0,0
It seems that you forgot to mention the multibillion dollars fake news industry shovelled by Qatar in the western world attacking to Israel.,2025-09-15 19:52:09.110000+00:00,0,0
"Well written: the dumbest potion a rich country can move itself in instead of being self-sufficient ;) The so called ""old Friend"" is what it always was a ""betrayer"" and looking for turkey to save him ist like giving the Devil the a head-cutter!
One of those realy bad situation that the the sentence ""its good to be a king!"" does not apply!",2025-09-15 19:52:09.110000+00:00,0,0
Good documentary but no one knows what's going to happen..,2025-09-15 19:52:09.110000+00:00,0,0
My chips would be on 'everyone was in on it.',2025-09-15 19:52:09.110000+00:00,0,0
"It is good to see you back on track, Bro. Your channel started out well, but then you got off into the weeds by using terms like Nationalism as a perjorative. To be clear, globalism is the problem, and Nationalism is the right of the sovereign people to determine their National policies.",2025-09-15 19:52:09.110000+00:00,0,0
"Another justified and successful strike PM Netanyahu, keep it up.",2025-09-15 19:52:09.110000+00:00,0,0
Since when Hamas leaders are the fucking messengers.,2025-09-15 19:52:09.110000+00:00,0,0
Arabs are not warriors.,2025-09-15 19:52:09.110000+00:00,0,0
for the sake of giving israel a right to genocide everything is being thrown into the fire,2025-09-15 19:52:09.110000+00:00,0,0
"The world is witnessing what US security guarantees are worth. Russia attacks NATO member Poland, nothing. Russia attacked Ukraine after Ukraine gave up nukes for security guarantees, nothing. America uses security guarantees to extort one-sided trade deals with allies and only gives excuses when it's time to deliver their end of the bargon.",2025-09-15 19:52:09.110000+00:00,0,0
